,Compound,Name,Negative,Neutral,Positive,Tweet Text,Tweets Ago
33,0.2584,@CBS,0.747,0.0,0.253,@CBS Don't bother. It's not star trek.,134
34,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/IEjXFseNmt,135
35,0.0,@CBS,1.0,0.0,0.0,@PresidentSClark @atensnut @TrumpRollsOn @andersoncooper @CNN @cnnbrk @CBS @CBSNews @CBSTweet @CBSThisMorning @ABC… https://t.co/s8anPL8rlX,136
36,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/4C9BzBk7X0,137
37,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/LK29P5kzDs,138
38,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/mITsgZA9VC,139
39,0.0,@CBS,1.0,0.0,0.0,RT @butchmoca: @franziloveslexa @netflix @NetflixLifee @HBO @hulu @MTV @warnerbrostv @CBS @ABCNetwork @FOXTV @STARZ @Showtime @SYFY @Amazon…,140
40,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/UIMrFwrBut,141
41,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/NirSOepjak,142
42,0.0258,@CBS,0.647,0.173,0.18,Col. Parker ready for combat. @NCISNewOrleans @CBS 10 pm. @ScottBakula https://t.co/gstZOgOHKo,143
43,-0.2263,@CBS,0.913,0.087,0.0,"RT @Luke4Tech: @Thomas1774Paine @mandersonhare1 ..
Don’t forget @CBS mention in an earlier interview Hogg was in school when the shooting h…",144
44,0.0,@CBS,1.0,0.0,0.0,@ABC @CBS @NBC @CNN @msnbc @maddow @cspan @NewsHour @nprpolitics @SenateDems @SenateGop @HouseGOP @HouseDemocrats… https://t.co/CGF3WueOOj,145
45,-0.34,@CBS,0.844,0.156,0.0,RT @SandraMolineux: @StupidBoomers @ggreenwald @ABC @nbc @CBS @CNN @VICE @nytimes Fire FBI START OVER,146
46,0.0,@CBS,1.0,0.0,0.0,"@NBCNews,@nbc, @NBCSports, you guys need to learn to count. An overestimate of 600,000 for march. Heard of fact che… https://t.co/25bujaQUfd",147
47,0.0,@CBS,1.0,0.0,0.0,"RT @StupidBoomers: @ggreenwald HEY
@ABC
@NBC
@CBS
@CNN
@VICE
@NYTIMES

How about a little Professional Investigative JOURNALISM 

THIS IS A…",148
48,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",149
49,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",150
50,0.0,@CBS,1.0,0.0,0.0,RT @rylcash: wow....c'mon now.@ASavageNation @billoreilly @seanhannity @billoreilly @I_AmAmerica @Arightside @judgejeanine #Tucker #GRETA @…,151
51,0.0,@CBS,1.0,0.0,0.0,@CBS nope,152
52,0.4404,@CBS,0.873,0.0,0.127,RT @SFSportsAuth: The numbers are in and 1.24 million people tuned in to the @NCAADII Men’s Basketball National Championship between @Ferri…,153
53,-0.3818,@CBS,0.606,0.394,0.0,@PunditFact So... @CBS lied? https://t.co/8ooy5gsUIP,154
54,0.0,@CBS,1.0,0.0,0.0,"RT @ProfElvanAktas: “Kanlı Tiyatro""
""Deadly Theater""
@cnni @bbc @AP @Reuters @dwnews @FoxNews @ABC @NBCNews @CBS @hrw @ariannahuff @OSCE_RF…",155
55,0.4019,@CBS,0.863,0.0,0.137,"RT @kbull53: Quinn, J Russell, Manziel, Sanchez, Leinart, Freeman, Ponder, Tannehill, Weeden, Osweiler, G Smith, Gabbert, Manuel &amp; these ar…",156
56,0.4404,@CBS,0.873,0.0,0.127,RT @SFSportsAuth: The numbers are in and 1.24 million people tuned in to the @NCAADII Men’s Basketball National Championship between @Ferri…,157
